series,epoch,train_loss,val_loss,val_metric
ETFaithful,1,1.4598123799463747,1.4091923385858536,1.410664615089947
ETFaithful,2,1.4395789644520753,1.3955772519111633,1.397355760096514
ETFaithful,3,1.424768675664428,1.387349247932434,1.3893187049468396
ETFaithful,4,1.4138446583110056,1.3763981014490128,1.3783123341565369
ETFaithful,5,1.4011086354589766,1.3716204687952995,1.373658343865478
ETFaithful,6,1.3947544154847504,1.3682513609528542,1.3695068825361667
ETFaithful,7,1.3799498954396339,1.3405098468065262,1.3426105090965865
ETFaithful,8,1.3805824814328722,1.328066498041153,1.3302967571606277
ETFaithful,9,1.3560850483596705,1.305944785475731,1.3078541085151374
ETFaithful,10,1.3288386209755187,1.2946210652589798,1.2959334147981718
ETFaithful,11,1.3041802276471617,1.3063766732811928,1.3070085357725039
ETFaithful,12,1.2956069707870483,1.2568634450435638,1.2576396285890952
ETFaithful,13,1.2905000892414409,1.2836560308933258,1.2861712284152744
ETFaithful,14,1.2593816423871715,1.2090396359562874,1.2104189819609164
ETFaithful,15,1.2494483134549135,1.2026405818760395,1.2041530248447672
ETFaithful,16,1.233683149905721,1.1809072904288769,1.1818896481096162
ETFaithful,17,1.2072351381277582,1.1763608828186989,1.1785363623378216
ETFaithful,18,1.208685676763012,1.1820398271083832,1.182979089311266
ETFaithful,19,1.193639215770041,1.1588375605642796,1.1589728459678008
ETFaithful,20,1.1680632393071606,1.1201663166284561,1.120985490429157
ETFaithful,21,1.175283228136172,1.1298366338014603,1.1315014682821347
ETFaithful,22,1.1554488782670087,1.126595664769411,1.1275560652575805
ETFaithful,23,1.1505117431567733,1.1305189318954945,1.1297061637117876
ETFaithful,24,1.1414028364381972,1.1212061159312725,1.121228887915553
ETFaithful,25,1.1219353470832678,1.0897674262523651,1.090941180925758
ETFaithful,26,1.1204458539652977,1.0854667164385319,1.0873519177920534
ETFaithful,27,1.1036792503800361,1.0728917978703976,1.0712688208072796
ETFaithful,28,1.094588842361596,1.0558466911315918,1.055248811021389
ETFaithful,29,1.0884310428503972,1.0663390010595322,1.0669136444143368
ETFaithful,30,1.0822798548989994,1.0498885251581669,1.0501759002282633
ETFaithful,31,1.0797749374322831,1.0424399822950363,1.0422989909760072
ETFaithful,32,1.06886457751511,1.0572838708758354,1.0569307870044722
ETFaithful,33,1.0686265522507346,1.0234249010682106,1.0234970446079388
ETFaithful,34,1.0550199948298704,1.064579963684082,1.0634258917495025
ETFaithful,35,1.0444844976352279,1.0265048779547215,1.0286490273959352
ETFaithful,36,1.02459290528753,1.0053637400269508,1.004024458505155
ETFaithful,37,1.0135016236335608,1.0246297307312489,1.0241186638362123
ETFaithful,38,0.9922910256750265,0.9616511985659599,0.9610349636934116
ETFaithful,39,0.9821877430199059,0.996723361313343,0.9988563290535821
ETFaithful,40,0.966426544508357,0.9282450526952744,0.9283510949424817
ETFaithful,41,0.9406501795076261,0.9148913733661175,0.9152239305748954
ETFaithful,42,0.9327431021222643,0.9152257815003395,0.9150783891453756
ETFaithful,43,0.9432315837805438,0.9239101931452751,0.9251503746434464
ETFaithful,44,0.9371974654258437,0.9423851333558559,0.9425615858239471
ETFaithful,45,0.9336730788467796,0.9773104451596737,0.9794534077448188
ETFaithful,46,0.9281113508400644,0.9066546186804771,0.9078993998793303
ETFaithful,47,0.9212299232270308,0.8908525444567204,0.8908835250622942
ETFaithful,48,0.9320260825430512,0.918154701590538,0.919159628499241
ETFaithful,49,0.9179349583425339,0.9936491772532463,0.9946260338201537
ETFaithful,50,0.9243609779959272,0.9059346802532673,0.9067227267054259
FullGET,1,1.3671541157042144,1.2818861827254295,1.2824291197183193
FullGET,2,1.3063679998088036,1.2764688432216644,1.2788277783085942
FullGET,3,1.284324117906534,1.2650992050766945,1.2679776760329842
FullGET,4,1.270275775794011,1.2289071008563042,1.2326404009041725
FullGET,5,1.2650458668447604,1.22495336830616,1.2294195507531405
FullGET,6,1.2547359603225805,1.3625580444931984,1.366316374531889
FullGET,7,1.2351545486480566,1.1862285546958447,1.1908649175082682
FullGET,8,1.2389181973827872,1.168740190565586,1.1759643395160675
FullGET,9,1.2083787249911362,1.417153611779213,1.4159459058520734
FullGET,10,1.1803223976663724,1.1019426062703133,1.1070363913094043
FullGET,11,1.1624033124583542,1.231900691986084,1.2329188018021524
FullGET,12,1.1438210978629484,1.3832926377654076,1.384250372252369
FullGET,13,1.1423552579181209,1.1588510908186436,1.1611030223285197
FullGET,14,1.123831352610497,1.0853253044188023,1.089087654679024
FullGET,15,1.1139143891395278,1.4203463792800903,1.4185265823816298
FullGET,16,1.1073088273880587,1.1029613986611366,1.1035817601819873
FullGET,17,1.0764340336915035,1.2871932052075863,1.2861769808297394
FullGET,18,1.0710486921535176,1.106736283749342,1.105522167011106
FullGET,19,1.0584942614956268,1.279957715421915,1.2793600099747418
FullGET,20,1.0508360980422633,1.1478612795472145,1.1480015349229216
